,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
50,自动化测试（会python）,爱盈利,10-14K·13薪,发布于06月17日,1-3年/大专,北京,服务端测试/测试开发/接口测试/自动化测试/性能测试,https://www.zhipin.com//job_detail/c70eb3f930ba3e0433d539W_ElY~.html
51,后端工程师,天一生才,8-10K,发布于06月17日,1-3年/大专,北京,Flask/容器技术/网络爬虫技术/GIT/Redis,https://www.zhipin.com//job_detail/339311de8299ea26031z2dm7F1I~.html
52,爬虫工程师,北京华承汇科技有...,13-18K,发布于06月18日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/分布式技术/JavaScript/Linux,https://www.zhipin.com//job_detail/21183f31445b1e9733Z43d25F1s~.html
53,爬虫工程师,贝塔科技,12-20K·14薪,发布于06月18日,1-3年/本科,北京,爬虫/BI/游戏/广告/RESTful,https://www.zhipin.com//job_detail/be756050205a305733d70t21FFY~.html
54,大数据可视化（web前端工程师）,万贝科技,8-9K,发布于06月18日,1-3年/本科,北京·丰台区,服务器配置/CSS/前端开发/Mongo/web前端工程师,https://www.zhipin.com//job_detail/d21daa41e68d006533d_2dq4FlY~.html
55,高级爬虫工程师,灵矶互联,20-40K,发布于06月18日,1-3年/硕士,北京·朝阳区,NoSQL/网络爬虫技术/Redis/架构师/MySQL,https://www.zhipin.com//job_detail/2514b34aad0d9d410nx809m9F1E~.html
56,安全系统研发工程师,百度,20-40K,发布于06月18日,1-3年/本科,北京·海淀区,分布式技术/Hadoop/Linux/Java/后端开发,https://www.zhipin.com//job_detail/f781f6cc7e07a56f1X170tq1EFQ~.html
57,Python工程师,万贝科技,8-13K,发布于06月19日,1-3年/本科,北京·丰台区,MongoDB/Laravel/Linux/MySQL/后端开发,https://www.zhipin.com//job_detail/bf550238c2e32cb533d_2tW8F1U~.html
58,爬虫工程师,牧游科技,15-25K·14薪,发布于06月19日,1-3年/大专,北京,网络爬虫技术/网页抓取/爬虫项目/正则表达式/熟悉多线程,https://www.zhipin.com//job_detail/d853cf8ec817f89033R43di7EVQ~.html
59,Python,北京动力天下科技发展有限公司,10-15K,发布于06月20日,1-3年/本科,北京·海淀区,数据抓取/图像识别/Celery/Tornado/分布式爬虫,https://www.zhipin.com//job_detail/611d132032bbaebe1HZ609m0GVQ~.html
60,自然语言处理工程师,中研图谱,10-15K·14薪,发布于06月20日,1-3年/本科,北京·海淀区,深度学习算法/推荐算法/Spark/Hadoop/算法设计,https://www.zhipin.com//job_detail/2c9d316c903f35210Xd72NS_EFA~.html
61,Python,北京动力天下科技发展有限公司,10-15K,发布于06月20日,1-3年/本科,北京·海淀区,数据抓取/图像识别/Celery/Tornado/分布式爬虫,https://www.zhipin.com//job_detail/611d132032bbaebe1HZ609m0GVQ~.html
62,Python工程师,智慧星光,8-12K,发布于06月21日,1-3年/本科,北京·海淀区,爬虫开发/python开发工程师/熟悉http协议/Chrome/前端开发技术,https://www.zhipin.com//job_detail/d4101b8e2fec025a03152d28GVc~.html
63,Python工程师,智慧星光,8-12K,发布于06月21日,1-3年/本科,北京·海淀区,爬虫开发/python开发工程师/熟悉http协议/Chrome/前端开发技术,https://www.zhipin.com//job_detail/d4101b8e2fec025a03152d28GVc~.html
64,python工程师,掌阅科技,15-20K·14薪,发布于06月22日,1-3年/本科,北京,SQL/Tornado/爬虫开发/python开发工程师/python开发,https://www.zhipin.com//job_detail/f85cac033b790ba733R82N6-FlE~.html
65,Python爬虫工程师 (MJ000130),凤凰网,15-25K,发布于06月22日,1-3年/本科,北京,网络爬虫技术/反爬/爬虫开发/PhantomJS/网页抓取,https://www.zhipin.com//job_detail/5fe4df793126b6e70X1z2dy9E1c~.html
66,Python 高级工程师（爬虫方向）,金惠科技,11-16K,发布于06月22日,1-3年/本科,北京,网页抓取/MongoDB/高可用/数据库调优/爬虫系统,https://www.zhipin.com//job_detail/2675dfca218de3b733Z52t28GVU~.html
