职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,招聘网站,详情页
爬虫工程师,硬核聚视,15-30K,发布于6月16日,1-3年/本科,北京,PhantomJS/Xpath/Scrapy/正则表达式/网页抓取,BOOS,https://www.zhipin.com//job_detail/21882472d3f419181XF93dq7F1A~.html
爬虫工程师,硬核聚视,15-30K,发布于6月16日,1-3年/本科,北京,PhantomJS/Xpath/Scrapy/正则表达式/网页抓取,BOOS,https://www.zhipin.com//job_detail/21882472d3f419181XF93dq7F1A~.html
爬虫工程师,七麦科技,18-30K,发布于6月16日,1-3年/大专,北京,网络爬虫技术/Xposed/分布式技术/CSS/移动端,BOOS,https://www.zhipin.com//job_detail/5738584c145753320XR93di8EFI~.html
爬虫工程师（数据部）,拓尔思信息技术股份有限公司,7K-14K,发布于6月17日,1-3年本科,北京-朝阳区,爬虫/Python/java,智联,https://jobs.zhaopin.com/CC000614796J00244113214.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,拓尔思信息技术股份有限公司,7K-14K,发布于6月17日,1-3年本科,北京-朝阳区,爬虫/Python/java,智联,https://jobs.zhaopin.com/CC000614796J00244112814.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,北京华承汇科技有...,13-18K,发布于6月18日,1-3年/本科,北京,爬虫工程师/网络爬虫技术/分布式技术/JavaScript/Linux,BOOS,https://www.zhipin.com//job_detail/21183f31445b1e9733Z43d25F1s~.html
爬虫工程师,贝塔科技,12-20K·14薪,发布于6月18日,1-3年/本科,北京,爬虫/BI/游戏/广告/RESTful,BOOS,https://www.zhipin.com//job_detail/be756050205a305733d70t21FFY~.html
高级爬虫工程师,灵矶互联,20-40K,发布于6月18日,1-3年/硕士,北京·朝阳区,NoSQL/网络爬虫技术/Redis/架构师/MySQL,BOOS,https://www.zhipin.com//job_detail/2514b34aad0d9d410nx809m9F1E~.html
爬虫工程师,北京聚源锐思数据科技有限公司,10K-15K,发布于6月18日,1-3年本科,北京,爬虫,智联,https://jobs.zhaopin.com/CC142738906J00256299310.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
软件开发工程师（爬虫） (MJ000035),北京万方数据股份有限公司,1-1.8万/月,发布于6月18日,2年经验/本科,北京-海淀区,,51job,https://jobs.51job.com/beijing-hdq/121598084.html?s=01&t=0
爬虫工程师,牧游科技,15-25K·14薪,发布于6月19日,1-3年/大专,北京,网络爬虫技术/网页抓取/爬虫项目/正则表达式/熟悉多线程,BOOS,https://www.zhipin.com//job_detail/d853cf8ec817f89033R43di7EVQ~.html
爬虫工程师,三合鸿业,20k-30k,发布于6月19日,1-3年/本科,北京·海淀区,爬虫架构/网络爬虫/python爬虫,拉钩,https://www.lagou.com/jobs/7108233.html
python爬虫工程师,北京环球天辰信息咨询有限公司,8K-10K,发布于6月19日,1-3年本科,北京,,智联,https://jobs.zhaopin.com/CC151122611J00155911712.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
中级爬虫工程师（国研大数据研究院）,国研科技集团有限公司,12K-24K,发布于6月19日,1-3年本科,北京,爬虫,智联,https://jobs.zhaopin.com/CC000275206J00250545012.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
国际机票JAVA爬虫工程师,北京走吧科技有限公司,15K-25K,发布于6月19日,1-3年大专,北京,抓取/Phalcon/java,智联,https://jobs.zhaopin.com/CC365694732J00127941012.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
中级爬虫工程师（国研大数据研究院）,国研科技集团有限公司,1.2-2.5万/月,发布于6月19日,2年经验/本科,北京-东城区,,51job,https://jobs.51job.com/beijing-dcq/122920403.html?s=01&t=0
Python爬虫工程师 (MJ000130),凤凰网,15-25K,发布于6月22日,1-3年/本科,北京,网络爬虫技术/反爬/爬虫开发/PhantomJS/网页抓取,BOOS,https://www.zhipin.com//job_detail/5fe4df793126b6e70X1z2dy9E1c~.html
Python 高级工程师（爬虫方向）,金惠科技,11-16K,发布于6月22日,1-3年/本科,北京,网页抓取/MongoDB/高可用/数据库调优/爬虫系统,BOOS,https://www.zhipin.com//job_detail/2675dfca218de3b733Z52t28GVU~.html
软件开发工程师（爬虫） (MJ000035),万方数据股份有限公司,10K-18K,发布于6月22日,1-3年本科,北京,网络爬虫/抓取,智联,https://jobs.zhaopin.com/CC000129351J00224380215.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
python爬虫工程师,北京海峰科技有限责任公司,8K-10K,发布于6月22日,1-3年本科,北京,Python/爬虫/数据采集/数据抓取,智联,https://jobs.zhaopin.com/CC241707739J00267193313.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
爬虫工程师,百度(中国）有限公司东莞分公司,25k-35k,发布于6月23日,1-3年/本科,北京·朝阳区,移动互联网/教育,拉钩,https://www.lagou.com/jobs/7284459.html
爬虫工程师,快看漫画,18k-25k,发布于6月23日,1-3年/本科,北京·朝阳区,大数据/移动互联网/Java/数据处理/Linux,拉钩,https://www.lagou.com/jobs/6865006.html
爬虫工程师,融汇金信,20-30K,发布于6月24日,1-3年/硕士,北京,Java/爬虫开发/网页抓取/爬虫工程师/爬虫系统,BOOS,https://www.zhipin.com//job_detail/e734f59e92474c070HZ939q8F1U~.html
网络爬虫研发工程师,人民在线,10k-20k,发布于6月24日,1年以下/本科,北京·朝阳区,数据挖掘,拉钩,https://www.lagou.com/jobs/4737891.html
网络爬虫工程师,知网,8k-15k,发布于6月24日,1-3年/本科,北京·海淀区,数据挖掘/数据分析,拉钩,https://www.lagou.com/jobs/5790582.html
高级爬虫工程师,久谦咨询,22k-35k,发布于6月24日,1-3年/本科,北京·朝阳区,大数据,拉钩,https://www.lagou.com/jobs/6967325.html
爬虫工程师,北京弘毅知行科技有限公司,10K-15K,发布于6月24日,1-3年大专,北京,反爬/爬虫/网络爬虫/数据抓取/数据采集/抓取,智联,https://jobs.zhaopin.com/CC667483728J00237376114.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
python爬虫数据分析员,北京海峰科技有限责任公司,0.8-1万/月,发布于6月24日,1年经验/本科,北京-西城区,,51job,https://jobs.51job.com/beijing-xcq/122635711.html?s=01&t=0
python抓取爬虫工程师,微播易,10-15K,发布于6月25日,1-3年/本科,北京,爬虫工程师/爬虫框架/爬虫开发/网页抓取/Scrapy,BOOS,https://www.zhipin.com//job_detail/e8c31c0c1b0d74db33d_3926E1A~.html
爬虫工程师,微博,12k-24k,发布于6月25日,1-3年/本科,北京·海淀区,Java/数据库开发/数据仓库/数据处理,拉钩,https://www.lagou.com/jobs/7298782.html
爬虫工程师,北京捷通华声科技股份有限公司,1-2万/月,发布于6月26日,1年经验/本科,北京,,51job,https://jobs.51job.com/beijing/111174597.html?s=01&t=0
python爬虫与数据工程师,百观Lab,10k-18k,发布于6月28日,1-3年/本科,北京·东城区,,拉钩,https://www.lagou.com/jobs/7324264.html
高级爬虫研发工程师,熵简科技,20k-40k,发布于6月28日,1-3年/本科,北京·海淀区,互联网金融/SQLServer/MySQL/数据挖掘/Spark,拉钩,https://www.lagou.com/jobs/7105612.html
Python爬虫工程师 (MJ000130),凤凰网,15k-25k,发布于6月28日,1-3年/本科,北京·朝阳区,python爬虫/爬虫工程师/抓取/数据抓取,拉钩,https://www.lagou.com/jobs/6861235.html
爬虫工程师,猿辅导,25k-35k,发布于6月28日,1-3年/本科,北京·朝阳区,Python/抓取/爬虫,拉钩,https://www.lagou.com/jobs/6260096.html
爬虫工程师,窄门集团,12k-24k,发布于6月28日,1-3年/不限,北京·朝阳区,企业服务/大数据/数据架构/数据仓库/数据库/数据分析,拉钩,https://www.lagou.com/jobs/6762431.html
网络爬虫软件工程师(java),北京优捷信达信息科技有限公司,5K-10K,发布于6月28日,1-3年大专,北京-朝阳区,,智联,https://jobs.zhaopin.com/191166013250912.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
Python 爬虫工程师,北京乐享互动网络科技股份有限公司,10K-15K,发布于6月28日,1-3年大专,北京,,智联,https://jobs.zhaopin.com/CC183071823J00134893214.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
python爬虫工程师,北京蜂蜂科技有限公司,10K-15K,发布于6月28日,1-3年学历不限,北京-西城区,,智联,https://jobs.zhaopin.com/CC565572680J00157511214.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
python爬虫工程师（菱歌数字科技）,北京鼎盛阳光咨询有限公司,1-2万/月,发布于6月28日,2年经验/本科,北京-朝阳区,,51job,https://jobs.51job.com/beijing-cyq/123081782.html?s=01&t=0
python爬虫分析工程师,北京海峰科技有限责任公司,1-1.5万/月,发布于6月28日,2年经验/本科,北京-西城区,,51job,https://jobs.51job.com/beijing-xcq/123191583.html?s=01&t=0
中级爬虫,北京三六九数动科技有限公司,1-1.5万/月,发布于6月28日,2年经验/本科,北京-朝阳区,,51job,https://jobs.51job.com/beijing-cyq/114432595.html?s=01&t=0
网络爬虫软件工程师(java),北京优捷信达信息科技有限公司,0.5-1万/月,发布于6月28日,1年经验/本科,北京-朝阳区,,51job,https://jobs.51job.com/beijing-cyq/114525035.html?s=01&t=0
Scraping Engineer (爬虫工程师),上镜公司,12-20K,发布于6月29日,1-3年/本科,北京,网络爬虫技术/Python/Scrapy/爬虫工程师/Cloud,BOOS,https://www.zhipin.com//job_detail/0a80006cb472dde10Xxy0925FlQ~.html
爬虫工程师,北京捷通华声科技股份有限公司,10K-20K,发布于6月29日,1-3年本科,北京-海淀区,Python/反爬/爬虫/数据抓取,智联,https://jobs.zhaopin.com/CC120359452J00255488614.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
Python爬虫分析工程师,北京海峰科技有限责任公司,10K-15K,发布于6月29日,1-3年本科,北京,Python/数据挖掘/数据采集/需求分析,智联,https://jobs.zhaopin.com/CC241707739J00278401013.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
python 爬虫工程师,北京蓝光汇智网络科技有限公司,10K-15K,发布于6月30日,1-3年本科,北京,python爬虫,智联,https://jobs.zhaopin.com/CC278763683J00260272011.htm?srccode=401901&preactionid=9052780f-a0e7-42f6-b97b-1c6b93f4e00a
